 1 1 1 1 	 arp	 1	 6 0 0 0
 7 1 1 1 	 arp	 1	 6 0 0 0
 7 1 1 1 	 drum	 2	 6 0 0 0
 13 1 1 1 	 arp	 1	 6 0 0 0
 13 1 1 1 	 drum	 2	 6 0 0 0
 13 1 1 1 	 bass	 3	 6 0 0 0
 19 1 1 1 	 arp	 1	 6 0 0 0
 19 1 1 1 	 drum	 2	 6 0 0 0
 19 1 1 1 	 bass	 3	 6 0 0 0
 25 1 1 1 	 arp	 1	 6 0 0 0
 25 1 1 1 	 drum	 2	 6 0 0 0
 25 1 1 1 	 bass	 3	 6 0 0 0
 25 1 1 1 	 melody	 4	 6 0 0 0
 31 1 1 1 	 arp	 1	 6 0 0 0
 31 1 1 1 	 drum	 2	 6 0 0 0
 31 1 1 1 	 bass	 3	 6 0 0 0
 31 1 1 1 	 melody	 4	 6 0 0 0
 37 1 1 1 	 arp	 1	 6 0 0 0
 37 1 1 1 	 drum	 2	 6 0 0 0
 37 1 1 1 	 bass	 3	 6 0 0 0
 37 1 1 1 	 melody	 4	 6 0 0 0
 37 1 1 1 	 sampler	 5	 18 0 0 0
 43 1 1 1 	 arp	 1	 6 0 0 0
 43 1 1 1 	 drum	 2	 6 0 0 0
 43 1 1 1 	 bass	 3	 6 0 0 0
 43 1 1 1 	 melody	 4	 6 0 0 0
 49 1 1 1 	 arp	 1	 6 0 0 0
 49 1 1 1 	 drum	 2	 6 0 0 0
 49 1 1 1 	 bass	 3	 6 0 0 0
 49 1 1 1 	 melody	 4	 6 0 0 0
 55 1 1 1 	 arp	 1	 6 0 0 0
 55 1 1 1 	 bass_alternate	 3	 6 0 0 0
 55 1 1 1 	 melody	 4	 6 0 0 0
 61 1 1 1 	 arp	 1	 6 0 0 0
 61 1 1 1 	 drum_alt	 2	 6 0 0 0
 61 1 1 1 	 bass_alternate	 3	 6 0 0 0
 61 1 1 1 	 melody	 4	 6 0 0 0
 67 1 1 1 	 arp	 1	 6 0 0 0
 67 1 1 1 	 drum_alt	 2	 6 0 0 0
 67 1 1 1 	 bass_alternate	 3	 6 0 0 0
 67 1 1 1 	 melody	 4	 6 0 0 0
 73 1 1 1 	 arp	 1	 6 0 0 0
 73 1 1 1 	 drum_alt	 2	 6 0 0 0
 73 1 1 1 	 bass_alternate	 3	 6 0 0 0
 73 1 1 1 	 melody_alternate	 4	 6 0 0 0
 79 1 1 1 	 arp	 1	 6 0 0 0
 79 1 1 1 	 drum_alt	 2	 6 0 0 0
 79 1 1 1 	 bass_alternate	 3	 6 0 0 0
 85 1 1 1 	 arp	 1	 6 0 0 0
 85 1 1 1 	 drum_alt	 2	 6 0 0 0
 85 1 1 1 	 bass_alternate	 3	 6 0 0 0
 91 1 1 1 	 arp	 1	 6 0 0 0
 91 1 1 1 	 drum_alt	 2	 6 0 0 0
 91 1 1 1 	 bass_alternate	 3	 6 0 0 0
 97 1 1 1 	 arp	 1	 6 0 0 0
 97 1 1 1 	 drum_alt	 2	 6 0 0 0
 97 1 1 1 	 bass_alternate	 3	 6 0 0 0
 103 1 1 1 	 arp	 1	 6 0 0 0
 103 1 1 1 	 drum_alt	 2	 6 0 0 0
 103 1 1 1 	 bass_alternate	 3	 6 0 0 0
 109 1 1 1 	 arp	 1	 6 0 0 0
 109 1 1 1 	 drum_alt	 2	 6 0 0 0
 109 1 1 1 	 bass_alternate	 3	 6 0 0 0
 115 1 1 1 	 arp	 1	 6 0 0 0
 115 1 1 1 	 drum_alt	 2	 6 0 0 0
 115 1 1 1 	 bass_alternate	 3	 6 0 0 0
 121 1 1 1 	 arp	 1	 6 0 0 0
 121 1 1 1 	 bass_alternate	 3	 6 0 0 0
