x,y,color,segment_id
12.368389,1.6844442,Black,01_01_seg_0010_track_02
2.904847,5.704933,Black,01_01_seg_0010_track_06
13.082653,-0.6595906,Black,01_01_seg_0010_track_07
3.728112,3.5132043,Black,01_01_seg_0010_track_10
3.7265587,3.515939,Black,01_01_seg_0010_track_11
10.499153,5.3235297,Black,01_01_seg_0010_track_12
3.028757,6.397458,Black,01_01_seg_0010_track_13
3.1680896,6.5453315,Black,01_01_seg_0010_track_14
10.64595,5.9936404,Black,01_01_seg_0010_track_15
10.945134,6.29549,Black,01_01_seg_0010_track_16
12.398118,7.398737,Black,01_01_seg_0010_track_17
10.352862,6.331175,Black,01_01_seg_0010_track_19
13.307928,5.841662,Black,01_01_seg_0010_track_21
4.1825514,6.5257325,Black,01_01_seg_0010_track_22
12.181801,-0.18974489,Black,01_01_seg_0011_track_01
11.893055,-0.15463546,Black,01_01_seg_0011_track_02
2.7358656,4.5046887,Black,01_01_seg_0011_track_06
13.015409,-0.59293485,Black,01_01_seg_0011_track_07
13.11616,-2.3866124,Black,01_01_seg_0011_track_10
13.11644,-2.3876834,Black,01_01_seg_0011_track_11
11.641537,5.241529,Black,01_01_seg_0011_track_12
2.1455188,5.795468,Black,01_01_seg_0011_track_13
2.1642954,5.850664,Black,01_01_seg_0011_track_14
10.5827,6.049024,Black,01_01_seg_0011_track_15
10.80095,6.1716275,Black,01_01_seg_0011_track_16
12.287315,7.383165,Black,01_01_seg_0011_track_17
10.527398,6.2168717,Black,01_01_seg_0011_track_19
13.178862,5.747435,Black,01_01_seg_0011_track_21
13.382848,5.746402,Black,01_01_seg_0012_track_01
2.2790868,4.9700627,Black,01_01_seg_0012_track_06
13.064173,-0.6506615,Black,01_01_seg_0012_track_07
13.117969,-2.389392,Black,01_01_seg_0012_track_10
13.117572,-2.3894928,Black,01_01_seg_0012_track_11
11.632343,5.2306952,Black,01_01_seg_0012_track_12
2.208771,6.1134067,Black,01_01_seg_0012_track_13
2.1787167,6.034918,Black,01_01_seg_0012_track_14
10.543792,6.0738406,Black,01_01_seg_0012_track_15
10.800642,6.0385776,Black,01_01_seg_0012_track_16
10.562989,6.2312927,Black,01_01_seg_0012_track_19
12.8993435,5.836057,Black,01_01_seg_0012_track_21
13.200549,4.850307,Black,01_01_seg_0013_track_01
13.359636,4.9663596,Black,01_01_seg_0013_track_02
2.3865628,5.0028663,Black,01_01_seg_0013_track_06
13.024325,-0.29670554,Black,01_01_seg_0013_track_07
12.212192,4.849928,Black,01_01_seg_0013_track_08
13.166757,4.9443607,Black,01_01_seg_0013_track_10
13.243948,4.9341235,Black,01_01_seg_0013_track_11
13.018627,7.1868744,Black,01_01_seg_0013_track_12
2.5967743,5.742423,Black,01_01_seg_0013_track_13
2.1425698,5.8674955,Black,01_01_seg_0013_track_14
12.643847,2.996855,Black,01_01_seg_0013_track_15
12.44352,6.95661,Black,01_01_seg_0013_track_16
12.864049,6.7553215,Black,01_01_seg_0013_track_17
11.606866,7.2591887,Black,01_01_seg_0013_track_18
12.272394,6.5797124,Black,01_01_seg_0013_track_19
7.6157117,5.7469974,Black,01_01_seg_0013_track_20
12.73457,6.088088,Black,01_01_seg_0013_track_20
13.091469,5.776639,Black,01_01_seg_0013_track_21
13.174494,6.9011817,Black,01_01_seg_0013_track_22
12.121958,2.701432,Black,01_01_seg_0014_track_01
10.349706,3.3556938,Black,01_01_seg_0014_track_03
2.5172894,5.0516453,Black,01_01_seg_0014_track_06
12.984648,-0.17361878,Black,01_01_seg_0014_track_07
11.984679,5.059376,Black,01_01_seg_0014_track_08
5.6336985,7.193858,Black,01_01_seg_0014_track_10
5.6277266,7.197421,Black,01_01_seg_0014_track_11
10.969506,5.12931,Black,01_01_seg_0014_track_12
2.7076762,5.8035407,Black,01_01_seg_0014_track_13
2.8075647,5.8318567,Black,01_01_seg_0014_track_14
12.838094,1.3254336,Black,01_01_seg_0014_track_15
12.127391,6.569094,Black,01_01_seg_0014_track_16
12.606712,6.8813157,Black,01_01_seg_0014_track_17
12.482299,7.238472,Black,01_01_seg_0014_track_18
7.941298,6.229297,Black,01_01_seg_0014_track_19
6.977599,5.967158,Black,01_01_seg_0014_track_20
7.009533,5.969393,Black,01_01_seg_0014_track_20
12.645179,5.7349024,Black,01_01_seg_0014_track_21
7.8645754,7.874159,Black,01_01_seg_0014_track_22
12.343918,0.39085242,Black,01_01_seg_0015_track_01
2.5405025,5.186539,Black,01_01_seg_0015_track_06
13.181765,-0.1501252,Black,01_01_seg_0015_track_07
2.6271853,4.1755924,Black,01_01_seg_0015_track_10
2.6102386,4.1750054,Black,01_01_seg_0015_track_11
10.484769,5.254597,Black,01_01_seg_0015_track_12
2.5278404,5.192874,Black,01_01_seg_0015_track_13
2.5464375,5.290504,Black,01_01_seg_0015_track_14
13.27083,1.1373788,Black,01_01_seg_0015_track_15
12.817689,6.4028625,Black,01_01_seg_0015_track_16
12.122578,8.411781,Black,01_01_seg_0015_track_17
11.828527,7.1221337,Black,01_01_seg_0015_track_18
12.692298,6.297074,Black,01_01_seg_0015_track_19
7.3553033,5.994749,Black,01_01_seg_0015_track_20
7.3328867,5.9883733,Black,01_01_seg_0015_track_20
12.634964,5.2885756,Black,01_01_seg_0015_track_21
11.636729,-0.37779507,Black,01_01_seg_0016_track_01
9.846186,2.0111313,Black,01_01_seg_0016_track_03
2.4800947,4.893042,Black,01_01_seg_0016_track_06
12.960996,-0.3943685,Black,01_01_seg_0016_track_07
2.8100696,3.9366138,Black,01_01_seg_0016_track_10
2.8141446,3.9302733,Black,01_01_seg_0016_track_11
13.164005,3.904579,Black,01_01_seg_0016_track_12
2.195649,5.1488085,Black,01_01_seg_0016_track_13
2.1930563,5.1478133,Black,01_01_seg_0016_track_14
13.046549,1.2324424,Black,01_01_seg_0016_track_15
12.777708,6.362701,Black,01_01_seg_0016_track_16
12.294913,6.96748,Black,01_01_seg_0016_track_17
12.381818,7.078411,Black,01_01_seg_0016_track_18
12.792566,6.3939233,Black,01_01_seg_0016_track_19
7.3151174,6.0287843,Black,01_01_seg_0016_track_20
7.3094006,6.039401,Black,01_01_seg_0016_track_20
12.818792,5.4758215,Black,01_01_seg_0016_track_21
11.832153,-0.3571053,Black,01_01_seg_0017_track_01
2.6658294,5.3177195,Black,01_01_seg_0017_track_06
13.232376,-0.17363472,Black,01_01_seg_0017_track_07
2.8169699,4.1622934,Black,01_01_seg_0017_track_10
2.819927,4.162036,Black,01_01_seg_0017_track_11
10.561798,4.1459575,Black,01_01_seg_0017_track_12
2.5578752,5.2284007,Black,01_01_seg_0017_track_13
2.7083209,5.174028,Black,01_01_seg_0017_track_14
13.280922,1.1196611,Black,01_01_seg_0017_track_15
12.579288,6.212378,Black,01_01_seg_0017_track_16
12.033244,7.073719,Black,01_01_seg_0017_track_17
11.953615,6.992765,Black,01_01_seg_0017_track_18
12.521664,6.19912,Black,01_01_seg_0017_track_19
7.6033,6.076892,Black,01_01_seg_0017_track_20
7.601066,6.0624275,Black,01_01_seg_0017_track_20
12.69324,5.480282,Black,01_01_seg_0017_track_21
12.220298,0.39058524,Black,01_01_seg_0018_track_01
9.762146,2.5779128,Black,01_01_seg_0018_track_03
2.4215932,5.0162473,Black,01_01_seg_0018_track_06
12.989545,-0.28364882,Black,01_01_seg_0018_track_07
2.679487,4.147071,Black,01_01_seg_0018_track_10
2.6892948,4.132357,Black,01_01_seg_0018_track_11
10.740491,5.153214,Black,01_01_seg_0018_track_12
2.1606367,5.0769258,Black,01_01_seg_0018_track_13
2.157024,5.124703,Black,01_01_seg_0018_track_14
13.235719,1.0961549,Black,01_01_seg_0018_track_15
12.738444,6.163298,Black,01_01_seg_0018_track_16
12.396777,6.8776393,Black,01_01_seg_0018_track_17
11.410767,7.276376,Black,01_01_seg_0018_track_18
12.69826,6.11782,Black,01_01_seg_0018_track_19
7.602334,5.984225,Black,01_01_seg_0018_track_20
7.6067586,6.0121775,Black,01_01_seg_0018_track_20
12.815786,5.524758,Black,01_01_seg_0018_track_21
12.287462,0.5138466,Black,01_01_seg_0019_track_01
2.6830614,5.2539167,Black,01_01_seg_0019_track_06
13.191289,-0.16315202,Black,01_01_seg_0019_track_07
2.7648153,4.096793,Black,01_01_seg_0019_track_10
2.7475169,4.1159925,Black,01_01_seg_0019_track_11
10.574042,5.2381797,Black,01_01_seg_0019_track_12
2.7022784,5.6927433,Black,01_01_seg_0019_track_13
2.6614144,5.7449746,Black,01_01_seg_0019_track_14
13.325524,1.1102527,Black,01_01_seg_0019_track_15
12.863912,6.134682,Black,01_01_seg_0019_track_16
12.349911,7.113918,Black,01_01_seg_0019_track_17
11.793622,7.0535965,Black,01_01_seg_0019_track_18
12.685867,6.242897,Black,01_01_seg_0019_track_19
7.665686,6.159182,Black,01_01_seg_0019_track_20
7.6393566,6.1004295,Black,01_01_seg_0019_track_20
12.8284025,5.446785,Black,01_01_seg_0019_track_21
11.725728,-0.35400304,Black,01_01_seg_0020_track_01
11.255552,-0.13787445,Black,01_01_seg_0020_track_03
2.548308,4.962287,Black,01_01_seg_0020_track_06
12.9518385,-0.38595623,Black,01_01_seg_0020_track_07
2.778886,3.986449,Black,01_01_seg_0020_track_10
2.7662387,3.9935746,Black,01_01_seg_0020_track_11
13.301388,3.6278863,Black,01_01_seg_0020_track_12
2.1038861,5.7849865,Black,01_01_seg_0020_track_13
2.300928,5.8697577,Black,01_01_seg_0020_track_14
13.328431,1.1000293,Black,01_01_seg_0020_track_15
12.705418,6.3104205,Black,01_01_seg_0020_track_16
12.033938,7.062279,Black,01_01_seg_0020_track_17
11.4420185,7.104154,Black,01_01_seg_0020_track_18
12.655033,6.2142663,Black,01_01_seg_0020_track_19
7.0472355,6.1203017,Black,01_01_seg_0020_track_20
7.0491195,6.1384625,Black,01_01_seg_0020_track_20
12.709992,5.546262,Black,01_01_seg_0020_track_21
11.674617,-0.37754676,Black,01_01_seg_0021_track_01
2.3386812,4.9432263,Black,01_01_seg_0021_track_06
13.2273855,-0.17127578,Black,01_01_seg_0021_track_07
2.793947,3.9436898,Black,01_01_seg_0021_track_10
2.8281298,3.93191,Black,01_01_seg_0021_track_11
10.481141,4.1415796,Black,01_01_seg_0021_track_12
2.1816316,5.1423025,Black,01_01_seg_0021_track_13
2.171797,5.1055713,Black,01_01_seg_0021_track_14
13.290092,1.1031011,Black,01_01_seg_0021_track_15
12.761375,6.16,Black,01_01_seg_0021_track_16
12.453163,6.751005,Black,01_01_seg_0021_track_17
11.401104,7.1417103,Black,01_01_seg_0021_track_18
12.735182,6.2292733,Black,01_01_seg_0021_track_19
8.206956,6.036414,Black,01_01_seg_0021_track_20
8.220183,6.0197315,Black,01_01_seg_0021_track_20
12.867038,5.4902654,Black,01_01_seg_0021_track_21
12.367213,0.5486855,Black,01_01_seg_0022_track_01
9.373362,8.659877,Black,01_01_seg_0022_track_06
13.095268,-0.6756099,Black,01_01_seg_0022_track_07
3.691323,3.760315,Black,01_01_seg_0022_track_10
3.6888955,3.7657895,Black,01_01_seg_0022_track_11
11.044475,5.070741,Black,01_01_seg_0022_track_12
2.6131392,5.745803,Black,01_01_seg_0022_track_13
2.6278174,5.7708836,Black,01_01_seg_0022_track_14
12.875747,4.868448,Black,01_01_seg_0022_track_15
12.639777,4.7516127,Black,01_01_seg_0022_track_16
12.880466,6.301054,Black,01_01_seg_0022_track_17
12.76699,5.132167,Black,01_01_seg_0022_track_19
11.990086,6.091618,Black,01_01_seg_0022_track_20
11.989864,6.008434,Black,01_01_seg_0022_track_20
13.037751,5.531659,Black,01_01_seg_0022_track_21
6.859056,5.8781633,Black,01_01_seg_0023_track_01
13.065563,-0.6392799,Black,01_01_seg_0023_track_07
3.642444,3.9114394,Black,01_01_seg_0023_track_10
3.6487472,3.9060836,Black,01_01_seg_0023_track_11
10.9805355,5.038939,Black,01_01_seg_0023_track_12
2.5716698,5.8727856,Black,01_01_seg_0023_track_13
2.5546594,5.84633,Black,01_01_seg_0023_track_14
13.210718,6.7010326,Black,01_01_seg_0023_track_15
13.375184,6.039017,Black,01_01_seg_0023_track_17
13.355642,6.065585,Black,01_01_seg_0023_track_18
13.088032,6.85891,Black,01_01_seg_0023_track_19
12.117221,-0.16036767,Black,01_01_seg_0024_track_01
11.522256,-0.11631951,Black,01_01_seg_0024_track_03
12.627037,-0.29373577,Black,01_01_seg_0024_track_04
11.264197,1.4553256,Black,01_01_seg_0024_track_05
13.073545,-0.6600274,Black,01_01_seg_0024_track_07
13.117041,-2.389758,Black,01_01_seg_0024_track_10
13.116814,-2.3885615,Black,01_01_seg_0024_track_11
11.0368395,5.5716896,Black,01_01_seg_0024_track_12
2.154619,5.274827,Black,01_01_seg_0024_track_13
2.1304011,5.4090095,Black,01_01_seg_0024_track_14
13.318552,1.0757592,Black,01_01_seg_0024_track_15
12.586856,6.3452716,Black,01_01_seg_0024_track_16
12.311638,7.0346127,Black,01_01_seg_0024_track_17
12.100444,7.0985518,Black,01_01_seg_0024_track_18
12.637195,6.2328286,Black,01_01_seg_0024_track_19
7.5281916,6.113808,Black,01_01_seg_0024_track_20
7.5382347,6.111038,Black,01_01_seg_0024_track_20
12.566296,5.7193785,Black,01_01_seg_0024_track_21
12.067012,-0.22879378,Black,01_01_seg_0025_track_01
11.556624,-0.09570927,Black,01_01_seg_0025_track_03
12.560579,-0.1492625,Black,01_01_seg_0025_track_04
11.253879,6.4668674,Black,01_01_seg_0025_track_05
13.096256,-0.67383134,Black,01_01_seg_0025_track_07
3.75002,3.4951193,Black,01_01_seg_0025_track_10
3.7860255,3.463137,Black,01_01_seg_0025_track_11
10.195186,3.4573123,Black,01_01_seg_0025_track_12
2.696384,5.822366,Black,01_01_seg_0025_track_13
2.6901655,5.7136626,Black,01_01_seg_0025_track_14
12.977666,1.256746,Black,01_01_seg_0025_track_15
12.732301,6.2559757,Black,01_01_seg_0025_track_16
