 1 1 1 1 	 jams	 1	 7 0 0 0
 1 1 1 1 	 jams	 2	 7 0 0 0
 1 1 1 1 	 jams	 3	 7 0 0 0
 1 1 1 1 	 jams_alt	 5	 7 0 0 0
 8 1 1 1 	 verse	 1	 7 0 0 0
 8 1 1 1 	 verse	 2	 7 0 0 0
 8 1 1 1 	 verse	 3	 7 0 0 0
 8 1 1 1 	 verse	 4	 7 0 0 0
 15 1 1 1 	 verse	 1	 7 0 0 0
 15 1 1 1 	 verse	 2	 7 0 0 0
 15 1 1 1 	 verse	 3	 7 0 0 0
 15 1 1 1 	 verse_alt	 4	 7 0 0 0
 22 1 1 1 	 chorus	 1	 5 0 0 0
 22 1 1 1 	 chorus	 2	 5 0 0 0
 22 1 1 1 	 chorus	 3	 5 0 0 0
 22 1 1 1 	 chorus	 4	 5 0 0 0
 27 1 1 1 	 chorus	 1	 5 0 0 0
 27 1 1 1 	 chorus	 2	 5 0 0 0
 27 1 1 1 	 chorus_alt	 3	 5 0 0 0
 27 1 1 1 	 chorus	 4	 5 0 0 0
 32 1 1 1 	 verse	 1	 7 0 0 0
 32 1 1 1 	 verse	 2	 7 0 0 0
 32 1 1 1 	 verse	 3	 7 0 0 0
 32 1 1 1 	 verse	 4	 7 0 0 0
 39 1 1 1 	 verse	 1	 7 0 0 0
 39 1 1 1 	 verse_alt	 2	 7 0 0 0
 39 1 1 1 	 verse	 3	 7 0 0 0
 39 1 1 1 	 verse_alt	 4	 7 0 0 0
 46 1 1 1 	 chorus	 1	 5 0 0 0
 46 1 1 1 	 chorus	 2	 5 0 0 0
 46 1 1 1 	 chorus	 3	 5 0 0 0
 46 1 1 1 	 chorus	 4	 5 0 0 0
 51 1 1 1 	 chorus	 1	 5 0 0 0
 51 1 1 1 	 chorus	 2	 5 0 0 0
 51 1 1 1 	 chorus_alt	 3	 5 0 0 0
 51 1 1 1 	 chorus	 4	 5 0 0 0
 56 1 1 1 	 bridge	 1	 7 0 0 0
 56 1 1 1 	 bridge	 2	 7 0 0 0
 56 1 1 1 	 bridge	 3	 7 0 0 0
 56 1 1 1 	 bridge	 5	 7 0 0 0
 63 1 1 1 	 chorus	 1	 5 0 0 0
 63 1 1 1 	 chorus	 2	 5 0 0 0
 63 1 1 1 	 chorus	 3	 5 0 0 0
 63 1 1 1 	 chorus_alt	 4	 5 0 0 0
 68 1 1 1 	 chorus	 1	 5 0 0 0
 68 1 1 1 	 chorus	 2	 5 0 0 0
 68 1 1 1 	 chorus_alt	 3	 5 0 0 0
 68 1 1 1 	 chorus	 4	 5 0 0 0
 73 1 1 1 	 jams	 1	 7 0 0 0
 73 1 1 1 	 jams	 2	 7 0 0 0
 73 1 1 1 	 jams_alt	 3	 7 0 0 0
 73 1 1 1 	 jams	 5	 7 0 0 0
 80 1 1 1 	 jams	 1	 7 0 0 0
 80 1 1 1 	 jams_alt	 2	 7 0 0 0
 80 1 1 1 	 jams	 3	 7 0 0 0
 80 1 1 1 	 jams	 5	 7 0 0 0
 87 1 1 1 	 jams	 1	 7 0 0 0
 87 1 1 1 	 jams_alt	 2	 7 0 0 0
 87 1 1 1 	 jams_alt	 3	 7 0 0 0
 87 1 1 1 	 jams_alt	 5	 7 0 0 0
