 1 1 1 1 	 intro	 1	 4 0 0 0
 1 1 1 1 	 intro	 5	 4 0 0 0
 5 1 1 1 	 intro	 1	 4 0 0 0
 5 1 1 1 	 intro	 5	 4 0 0 0
 9 1 1 1 	 intro	 1	 4 0 0 0
 9 1 1 1 	 intro	 2	 4 0 0 0
 9 1 1 1 	 intro	 3	 4 0 0 0
 9 1 1 1 	 intro	 5	 4 0 0 0
 13 1 1 1 	 verse	 1	 5 0 0 0
 13 1 1 1 	 verse	 2	 5 0 0 0
 13 1 1 1 	 verse	 3	 5 0 0 0
 13 1 1 1 	 verse	 4	 5 0 0 0
 18 1 1 1 	 verse	 1	 5 0 0 0
 18 1 1 1 	 verse	 2	 5 0 0 0
 18 1 1 1 	 verse	 3	 5 0 0 0
 18 1 1 1 	 verse	 4	 5 0 0 0
 23 1 1 1 	 chorus	 1	 6 0 0 0
 23 1 1 1 	 chorus	 2	 6 0 0 0
 23 1 1 1 	 chorus	 3	 6 0 0 0
 23 1 1 1 	 chorus	 4	 6 0 0 0
 29 1 1 1 	 verse	 1	 5 0 0 0
 29 1 1 1 	 verse	 2	 5 0 0 0
 29 1 1 1 	 verse	 3	 5 0 0 0
 29 1 1 1 	 verse	 4	 5 0 0 0
 34 1 1 1 	 verse	 1	 5 0 0 0
 34 1 1 1 	 verse	 2	 5 0 0 0
 34 1 1 1 	 verse	 3	 5 0 0 0
 34 1 1 1 	 verse	 4	 5 0 0 0
 39 1 1 1 	 chorus	 1	 6 0 0 0
 39 1 1 1 	 chorus	 2	 6 0 0 0
 39 1 1 1 	 chorus	 3	 6 0 0 0
 39 1 1 1 	 chorus	 4	 6 0 0 0
 45 1 1 1 	 chorus	 1	 6 0 0 0
 45 1 1 1 	 chorus	 2	 6 0 0 0
 45 1 1 1 	 chorus	 3	 6 0 0 0
 45 1 1 1 	 chorus	 4	 6 0 0 0
 51 1 1 1 	 bridge	 1	 7 0 0 0
 51 1 1 1 	 bridge	 2	 7 0 0 0
 51 1 1 1 	 bridge	 3	 7 0 0 0
 51 1 1 1 	 bridge	 4	 7 0 0 0
 54 1 1 1 	 jams	 5	 4 0 0 0
 58 1 1 1 	 jams	 5	 4 0 0 0
 58 1 1 1 	 jams	 5	 4 0 0 0
 62 1 1 1 	 jams	 1	 4 0 0 0
 62 1 1 1 	 jams	 5	 4 0 0 0
 62 1 1 1 	 jams	 5	 4 0 0 0
 66 1 1 1 	 jams	 1	 4 0 0 0
 66 1 1 1 	 jams	 2	 4 0 0 0
 66 1 1 1 	 jams	 5	 4 0 0 0
 70 1 1 1 	 jams	 1	 4 0 0 0
 70 1 1 1 	 jams	 2	 4 0 0 0
 70 1 1 1 	 jams	 3	 4 0 0 0
 70 1 1 1 	 jams	 6	 4 0 0 0
 74 1 1 1 	 jams	 1	 4 0 0 0
 74 1 1 1 	 jams	 2	 4 0 0 0
 74 1 1 1 	 jams	 3	 4 0 0 0
 74 1 1 1 	 jams	 6	 4 0 0 0
 78 1 1 1 	 jams	 1	 4 0 0 0
 78 1 1 1 	 jams	 2	 4 0 0 0
 78 1 1 1 	 jams	 3	 4 0 0 0
 78 1 1 1 	 jams	 6	 4 0 0 0
 82 1 1 1 	 chorus	 1	 6 0 0 0
 82 1 1 1 	 chorus	 2	 6 0 0 0
 82 1 1 1 	 chorus	 3	 6 0 0 0
 82 1 1 1 	 chorus	 4	 6 0 0 0
 88 1 1 1 	 chorus	 1	 6 0 0 0
 88 1 1 1 	 chorus	 2	 6 0 0 0
 88 1 1 1 	 chorus	 3	 6 0 0 0
 88 1 1 1 	 chorus	 4	 6 0 0 0
 94 1 1 1 	 verse	 3	 5 0 0 0
 94 1 1 1 	 verse	 4	 5 0 0 0
